Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 5, Nome: Charmeleon, Data de Captura: 06/03/1996
Inserido Pokémon: ID 6, Nome: Charizard, Data de Captura: 20/12/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 5, Nome: Charmeleon, Data de Captura: 06/03/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 5, Nome: Charmeleon, Data de Captura: 06/03/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 5, Nome: Charmeleon, Data de Captura: 06/03/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 5, Nome: Charmeleon, Data de Captura: 06/03/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 5, Nome: Charmeleon, Data de Captura: 06/03/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 3, Nome: Venusaur, Data de Captura: 12/01/1996
Inserido Pokémon: ID 4, Nome: Charmander, Data de Captura: 04/12/1996
Inserido Pokémon: ID 5, Nome: Charmeleon, Data de Captura: 06/03/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
Inserido Pokémon: ID 2, Nome: Ivysaur, Data de Captura: 08/10/1996
