Tamanho,Algoritmo,Tempo(ns),Comparacoes,Movimentacoes
100,SelectionSort,317138,4950,273
100,InsertionSort,99224,2500,2599
100,BubbleSort,229240,4905,7203
100,QuickSort,34470,624,1163
1000,SelectionSort,2079853,499500,2976
1000,InsertionSort,921212,253049,254048
1000,BubbleSort,2637666,496872,756150
1000,QuickSort,113829,10472,17670
10000,SelectionSort,70614537,49995000,29970
10000,InsertionSort,31864779,25277276,25287275
10000,BubbleSort,100837086,49950449,75801831
10000,QuickSort,633371,159365,284431
100000,SelectionSort,4015244853,4999950000,299982
100000,InsertionSort,2112307832,2494220453,2494320452
100000,BubbleSort,17612431909,4999917615,7482361362
100000,QuickSort,7473469,2048379,3233294
